name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Cilium,,https://cilium.io/,logos/6b052d96054bbe311b0429d2267d60b92b1c5e6527e6646c0bf2fc06a55e2f43.svg,https://twitter.com/ciliumproject,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师和架构师。该演讲主要探讨超大规模集群和多集群场景下的网络挑战与解决方案，属于Runtime分类中的容器网络领域。演讲中，Cilium提供高性能eBPF数据平面，Submariner专注于跨集群L3连接，两者共同解决大规模集群的网络扩展问题。,,,,,,,,,,,,Runtime,Cloud Native Network,,,,,,,,,,,,,2021-10-13,2021-10-13,2023-10-11,https://cilium.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#cilium-logos,,,https://cilium.herokuapp.com/,,,2023-02-13,https://github.com/cilium/cilium.io/blob/main/Security-Reports/CiliumFuzzingAudit2022.pdf
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Clusternet,,https://clusternet.io,logos/6d3bc10948133ab516e83603c54bdce1a5e1624e1bedd8797006bcf782cccebd.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2023-03-07,,,https://clusternet.devstats.cncf.io/,,,,https://cloud-native.slack.com/messages/clusternet,,,,
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Clusterpedia,,https://clusterpedia.io,logos/8676ba8db3674d23e7d64e6d66bd72f926c657f9890961c6e20fcf3509d84761.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2022-06-17,,,https://clusterpedia.devstats.cncf.io/,,,,https://cloud-native.slack.com/messages/clusterpedia,,,,
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - CoreDNS,,https://coredns.io/,logos/9f366c2d009f0fc6fa4dd5fbfc4dbb462f3d20a09c534d3e4ced67dcb9b092b1.svg,https://twitter.com/corednsio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Coordination & Service Discovery,,,,,,,,,,,,,2017-02-27,2018-02-26,2019-01-24,https://coredns.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#coredns-logos,https://coredns.io/blog/,https://groups.google.com/forum/#!forum/coredns-discuss,https://cloud-native.slack.com/messages/coredns/,https://www.youtube.com/channel/UCbWRJZxiaQ8twm6sh7UymoQ,,2018-02-03,https://coredns.io/assets/DNS-01-report.pdf
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - etcd,,https://etcd.io/,logos/0d8c081f2c074582caafefe4b135388d3e62c6e64ca1faf2058743c9d784f14f.svg,https://twitter.com/etcdio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Coordination & Service Discovery,,,,,,,,,,,,,2018-12-11,2018-12-11,2020-11-24,https://etcd.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#etcd-logos,,https://groups.google.com/forum/?hl=en#!forum/etcd-dev,http://slack.k8s.io/,,#etcd,2022-03-11,https://github.com/etcd-io/etcd/blob/main/security/FUZZING_AUDIT_2022.PDF
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Istio,,https://istio.io/,logos/2d881599f6faed0a16840a675049bd10ce7096134d93df3f533aaf91972a9689.svg,https://twitter.com/IstioMesh,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Service Mesh,,,,,,,,,,,,,2022-09-30,2022-09-30,2023-07-12,https://istio.devstats.cncf.io/,,https://istio.io/blog/,,https://slack.istio.io/,https://www.youtube.com/c/Istio,,2023-01-30,https://istio.io/latest/blog/2023/ada-logics-security-assessment/Istio%20audit%20report%20-%20ADA%20Logics%20-%202023-01-30%20-%20v1.0.pdf
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Karmada,,https://karmada.io/,logos/57df0a733577a27787ef3a7a8544dc52e4c65a87a10c8d9705083429d599b0a8.svg,https://x.com/karmada_io,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,incubating,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2021-09-14,2023-12-12,,https://karmada.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#karmada-logos,,https://groups.google.com/forum/#!forum/karmada,https://cloud-native.slack.com/messages/karmada,,#karmada,,
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - KEDA,,https://keda.sh/,logos/c87a77d52e0b19e58b98012864dbd5d963a4c4d97c767b15e074d30077104b12.svg,https://twitter.com/kedaorg,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2020-03-12,2021-08-18,2023-08-22,https://keda.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#keda-logos,https://keda.sh/blog,,https://kubernetes.slack.com/archives/CKZJ36A5D,https://www.youtube.com/playlist?list=PLvjRi5R9GQfASIcL4MLTfg2ZOoBdIi5Kq,,2023-02-02,https://github.com/trailofbits/publications/blob/master/reviews/2023-01-keda-securityreview.pdf
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Kubernetes,,https://kubernetes.io/,logos/e0303fdc381c96c1b4461ad1a2437c8f050cfb856fcb8710c9104367ca60f316.svg,https://twitter.com/kubernetesio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2016-03-10,2016-03-10,2018-03-06,https://k8s.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#kubernetes-logos,http://blog.kubernetes.io/,https://groups.google.com/forum/#!forum/kubernetes-dev,http://slack.k8s.io/,https://www.youtube.com/channel/UCZ2bu0qutTOM0tHYa_jkIwg,,2023-04-19,https://github.com/kubernetes/sig-security/tree/main/sig-security-external-audit/security-audit-2021-2022/findings
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Kueue,,https://kueue.sigs.k8s.io/,logos/2a3e39a10935505a71daee85630f27ff4f6a034e54640619795bdefc2693588b.svg,,,,,,,,,面向架构师和技术管理者。该演讲探讨了超大规模集群和多集群架构的挑战与解决方案，属于云原生应用基础设施分类。演讲中，KubeBrain作为etcd替代方案，与Clusterpedia、Submariner、Cilium等项目共同构建了大规模集群的优化体系。,,,,,,,,,,,,CNAI,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Submariner,,https://submariner.io,logos/58ee5bb2fb1d6492724bbc8926162b64c52a7d05d539733affdbec839da55c0b.svg,https://twitter.com/submarinerio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,,,面向运维工程师和架构师。该演讲主要探讨超大规模集群和多集群场景下的网络挑战与解决方案，属于Runtime分类中的容器网络领域。演讲中，Cilium提供高性能eBPF数据平面，Submariner专注于跨集群L3连接，两者共同解决大规模集群的网络扩展问题。,,,,,,,,,,,,Runtime,Cloud Native Network,,,,,,,,,,,,,2021-04-28,,,,,,,,,,,
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Volcano,,https://volcano.sh/,logos/45984434efdb609308838359d65422b44b2c60579df44a3f56c642b4161660d1.svg,https://twitter.com/volcano_sh,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,incubating,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2020-04-09,2022-03-21,,https://volcano.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#volcano,,,,,,,
02-Pythonic Argo_ Building Maintainable and Dynamic ML Pipelines as Code-Shuangkun Tian，Lei Hou（Alicloud）.md - Kubeflow,,https://kubeflow.org,logos/7d633b3edfff267c99e5cb38c875ca2b842b3b371fd13dfad598dcc07c24a62b.svg,https://twitter.com/kubeflow,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,incubating,,,,面向开发工程师和架构师。该演讲主要介绍使用Python构建可维护的ML工作流，属于编排与管理分类。演讲中，Argo Workflows作为底层编排引擎，与Kubeflow Pipelines等MLOps框架协同，实现ML管线的自动化。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2023-07-25,2023-07-25,,https://kubeflow.devstats.cncf.io/,,https://blog.kubeflow.org,https://groups.google.com/g/kubeflow-discuss,http://slack.cncf.io/,,,,
"03-Valkey on Kubernetes_ High-Performance, Low-Latency Deployments for Scalable Clusters.md - Kubernetes",,https://kubernetes.io/,logos/e0303fdc381c96c1b4461ad1a2437c8f050cfb856fcb8710c9104367ca60f316.svg,https://twitter.com/kubernetesio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师和架构师。该演讲主要介绍了Valkey在Kubernetes上的部署和管理实践，属于编排与管理分类。演讲中，Kubernetes作为核心编排平台，结合StatefulSets、Operators等原生资源来管理Valkey集群。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2016-03-10,2016-03-10,2018-03-06,https://k8s.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#kubernetes-logos,http://blog.kubernetes.io/,https://groups.google.com/forum/#!forum/kubernetes-dev,http://slack.k8s.io/,https://www.youtube.com/channel/UCZ2bu0qutTOM0tHYa_jkIwg,,2023-04-19,https://github.com/kubernetes/sig-security/tree/main/sig-security-external-audit/security-audit-2021-2022/findings
04-云原生架构下分布式大模型推理的编排与调度实践-孙大光（华为）、鲁卫军（华为）.md - Volcano,,https://volcano.sh/,logos/45984434efdb609308838359d65422b44b2c60579df44a3f56c642b4161660d1.svg,https://twitter.com/volcano_sh,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,incubating,,,,面向架构师和运维工程师。该演讲聚焦大模型推理在K8s上的编排与调度优化，属于编排与管理分类。演讲中，Kthena作为编排框架，依赖Volcano提供拓扑感知和Gang调度能力。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2020-04-09,2022-03-21,,https://volcano.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#volcano,,,,,,,
06-从 Device Plugin 到 DRA：GPU 调度范式升级与 HAMi DRA 实践-王纪飞（密瓜智能），James Deng（第四范式）.md - hami,,https://project-hami.github.io/HAMi/,logos/5b9b19fdadf8e69c574a9bb7cc698465a71c1734cd55e0cecd01698ea85270a6.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,,,面向开发工程师和运维工程师。该演讲聚焦于Kubernetes DRA（Dynamic Resource Allocation）机制在GPU调度中的应用，属于编排与管理分类。演讲以HAMi项目为核心，展示了DRA如何替代传统Device Plugin实现更精细的GPU资源管理。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2024-08-21,,,,,,,,,,,
07-把吵闹邻居揪出来：Kubernetes 混部场景下的干扰检测与 SLO 治理实践-曹阳（京东）.md - Koordinator,,https://koordinator.sh,logos/e87455bdd8e4b982eb0969b60ae5972d1299a1665ed900227758940399301466.svg,,https://www.crunchbase.com/organization/alibaba-cloud,,,sandbox,,,,面向运维工程师和架构师。该演讲聚焦Kubernetes混部场景下的干扰检测与SLO治理，属于编排与管理分类。演讲中，Kubernetes作为基础编排平台，Koordinator（或其类似技术）用于增强混部调度与QoS保障。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2024-04-16,,,,,,,,,,,
07-把吵闹邻居揪出来：Kubernetes 混部场景下的干扰检测与 SLO 治理实践-曹阳（京东）.md - Kubernetes,,https://kubernetes.io/,logos/e0303fdc381c96c1b4461ad1a2437c8f050cfb856fcb8710c9104367ca60f316.svg,https://twitter.com/kubernetesio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师和架构师。该演讲聚焦Kubernetes混部场景下的干扰检测与SLO治理，属于编排与管理分类。演讲中，Kubernetes作为基础编排平台，Koordinator（或其类似技术）用于增强混部调度与QoS保障。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2016-03-10,2016-03-10,2018-03-06,https://k8s.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#kubernetes-logos,http://blog.kubernetes.io/,https://groups.google.com/forum/#!forum/kubernetes-dev,http://slack.k8s.io/,https://www.youtube.com/channel/UCZ2bu0qutTOM0tHYa_jkIwg,,2023-04-19,https://github.com/kubernetes/sig-security/tree/main/sig-security-external-audit/security-audit-2021-2022/findings
07-把吵闹邻居揪出来：Kubernetes 混部场景下的干扰检测与 SLO 治理实践-曹阳（京东）.md - Prometheus,,https://prometheus.io/,logos/4d6a2b87a6c9a01ed1b82cef5db978e273adb99fda44d47e5dae48f75207147c.svg,https://twitter.com/PrometheusIO,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师和架构师。该演讲聚焦Kubernetes混部场景下的干扰检测与SLO治理，属于可观测性分类，通过Prometheus等工具采集业务、系统及微架构指标实现全栈可观测。,,,,,,,,,,,,Observability and Analysis,Observability,,,,,,,,,,,,,2016-05-09,2016-05-09,2018-08-09,https://prometheus.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#prometheus-logos,https://prometheus.io/blog/,https://prometheus.io/community/,https://libera.chat/,https://www.youtube.com/channel/UC4pLFely0-Odea4B2NL1nWA,#prometheus,2020-07-21,https://prometheus.io/assets/downloads/2020-07-21--cure53_security_audit_node_exporter.pdf
08-Gang Scheduling in Kubernetes - What’s Happening and What Comes Next-范宝发（DaoCloud）.md - Kubernetes,,https://kubernetes.io/,logos/e0303fdc381c96c1b4461ad1a2437c8f050cfb856fcb8710c9104367ca60f316.svg,https://twitter.com/kubernetesio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向开发工程师和运维工程师。该演讲深入探讨Kubernetes中的Gang Scheduling机制，属于编排与管理分类的核心调度功能。演讲聚焦Kubernetes原生调度器增强，通过Workload API和PodGroup实现批量Pod协同调度。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2016-03-10,2016-03-10,2018-03-06,https://k8s.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#kubernetes-logos,http://blog.kubernetes.io/,https://groups.google.com/forum/#!forum/kubernetes-dev,http://slack.k8s.io/,https://www.youtube.com/channel/UCZ2bu0qutTOM0tHYa_jkIwg,,2023-04-19,https://github.com/kubernetes/sig-security/tree/main/sig-security-external-audit/security-audit-2021-2022/findings
10-基于Karmada + JuiceFS 的 AI 全球推理引擎管理实践-汪小康（GMICloud）、李少杰（JuiceFS）.md - Karmada,,https://karmada.io/,logos/57df0a733577a27787ef3a7a8544dc52e4c65a87a10c8d9705083429d599b0a8.svg,https://x.com/karmada_io,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,incubating,,,,面向运维工程师、架构师和技术管理者。该演讲主要介绍了基于Karmada的多集群管理调度平台实践，属于编排与管理分类。演讲中，Karmada作为核心编排框架，与自研的BRS抽象层和调度系统协同，构建了全球异构资源统一管理平台。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2021-09-14,2023-12-12,,https://karmada.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#karmada-logos,,https://groups.google.com/forum/#!forum/karmada,https://cloud-native.slack.com/messages/karmada,,#karmada,,
10-基于Karmada + JuiceFS 的 AI 全球推理引擎管理实践-汪小康（GMICloud）、李少杰（JuiceFS）.md - Virtual Kubelet,,https://virtual-kubelet.io/,logos/32434541b5d6f489da28f8b8e6d5d95280d5c7e94e873e37c1fa92ec4f8c407d.svg,https://twitter.com/virtualkubelet,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,,,面向架构师和技术管理者。该演讲介绍了基于Karmada和JuiceFS的全球AI推理引擎架构，其中Virtual Kubelet作为Runtime层的关键组件，用于抽象和管理异构计算资源。演讲中，Virtual Kubelet与Karmada协同，实现了多云资源的统一调度和管理。,,,,,,,,,,,,Runtime,Container Runtime,,,,,,,,,,,,,2018-12-04,,,https://virtualkubelet.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#virtual-kubelet-logos,,,,,,,
11-Etcd大规模集群中性能挑战与内核级突破-汪扬（蚂蚁）.md - etcd,,https://etcd.io/,logos/0d8c081f2c074582caafefe4b135388d3e62c6e64ca1faf2058743c9d784f14f.svg,https://twitter.com/etcdio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师和架构师。该演讲深入探讨etcd在大规模AI集群中的性能优化，属于编排与管理分类中的核心存储组件。演讲聚焦etcd自身的内核级优化，未涉及与其他项目的集成关系。,,,,,,,,,,,,Orchestration & Management,Coordination & Service Discovery,,,,,,,,,,,,,2018-12-11,2018-12-11,2020-11-24,https://etcd.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#etcd-logos,,https://groups.google.com/forum/?hl=en#!forum/etcd-dev,http://slack.k8s.io/,,#etcd,2022-03-11,https://github.com/etcd-io/etcd/blob/main/security/FUZZING_AUDIT_2022.PDF
12-迈向具身智能规模化：智元机器人基于 OpenYurt 的云边协同实践-蒋晨曦（智元机器人）、唐炳昌（阿里云）.md - Dragonfly,,https://d7y.io/,logos/60b07adb6812ca92688c7a1c33b13001022b0dd73cd3b8e64a415e4f003cde16.svg,https://twitter.com/dragonfly_oss,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲主要介绍了智元机器人基于OpenYurt的云边协同实践，属于Provisioning分类中的基础设施自动化配置和管理。演讲中，OpenYurt作为云边协同基础平台，与Dragonfly共同优化了模型分发效率。,,,,,,,,,,,,Provisioning,Container Registry,,,,,,,,,,,,,2018-11-13,2020-04-09,2025-10-28,https://dragonfly.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#dragonfly-logos,,https://groups.google.com/g/dragonfly-developers,https://cloud-native.slack.com/messages/dragonfly/,,,,
12-迈向具身智能规模化：智元机器人基于 OpenYurt 的云边协同实践-蒋晨曦（智元机器人）、唐炳昌（阿里云）.md - OpenYurt,,https://openyurt.io/,logos/3c216efe174d53c58cb2f7209a0ebcbf7f709ca5808322e44dadd2819598a7a7.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,incubating,,,,面向运维工程师、架构师和技术管理者。该演讲主要介绍了智元机器人基于OpenYurt的云边协同实践，属于Provisioning分类中的基础设施自动化配置和管理。演讲中，OpenYurt作为云边协同基础平台，与Dragonfly共同优化了模型分发效率。,,,,,,,,,,,,Provisioning,Automation & Configuration,,,,,,,,,,,,,2020-09-08,2025-01-10,,https://openyurt.devstats.cncf.io/,,,,,,,,
